Input, Output
-1.618166466559886629e+01,2.236793466992380471e-03
-2.390260783713346271e+01,-8.084746622164530550e+00
-3.303729206227346893e+00,-2.327901606215431585e+01
-4.204541567933279822e-01,-2.906601231251318751e+01
-1.686108897212950097e+01,-2.704892665761471093e+01
-2.070591716275639094e+00,-3.045173657153180002e+01
-1.368231332262011790e+01,-2.952720141820700661e+01
-1.913353338773081802e+01,-3.152905840590479514e+01
-8.459060159374990562e+00,-3.813155288473164006e+01
-1.472556990493213824e+01,-4.055780683477419757e+01
-1.291921890258689665e+01,-4.316224350982041358e+01
-1.365846357172868508e+01,-4.512826447197790714e+01
-2.813876938139888040e+00,-4.672817225039027278e+01
-2.347583361862793438e+01,-4.260046355719294553e+01
9.977010491208520904e+00,-4.631028819933090546e+01
-8.645860758738539431e+00,-3.760244042076077875e+01
-1.632976326687502677e+01,-3.177439089383937443e+01
-1.034823285988544050e+01,-3.363630959685203692e+01
-9.586658309926804122e+00,-3.571739466922704764e+01
-2.974452800225527582e+01,-3.658927803301710924e+01
-8.425506594567814034e+00,-4.689417015765835117e+01
1.125508958736005738e+01,-5.027895573808771701e+01
-1.041129380919604408e+01,-3.866482258062656285e+01
-1.476162793645506355e+01,-3.237348074667611542e+01
-2.805677199741225181e+01,-3.334468343251371891e+01
4.804826756568312263e+00,-4.385917857866734693e+01
-1.429970270959865886e+01,-4.101852442825153133e+01
-4.103724763539854159e+00,-4.009845573745306524e+01
-3.000336662547598010e+00,-3.683110841106144306e+01
-1.329572258392644457e+01,-3.167823649154476229e+01
-2.602714606979574441e+01,-3.169940962201901513e+01
-1.275474823158479865e+01,-4.098379732721360114e+01
-2.708779961069922138e+00,-4.675508034792630951e+01
-2.009403067162895695e+01,-4.397952342232709810e+01
-4.585934829865188078e+00,-4.627787940922753762e+01
-7.144257684771256223e+00,-4.399284919403175564e+01
-1.322477178646691343e+01,-4.015683203341116325e+01
-4.442047613018180741e+00,-3.967916595970510940e+01
-4.983787324673601304e+00,-3.671420737622128883e+01
-7.938845966575991397e+00,-3.271137493365179694e+01
-1.022755418842392316e+01,-3.050406789443301392e+01
-1.398133962117130835e+01,-3.071867717834352973e+01
-5.031529906178532130e+00,-3.390223484015999134e+01
-3.733817234936886820e+01,-3.352123651626056500e+01
-3.751670041545038359e+00,-4.718072160925110126e+01
-7.154194863195741050e+00,-5.015229688146931863e+01
-1.854035826633943174e+00,-4.716345222799428427e+01
-2.157200178642586863e+01,-4.019706647013494916e+01
-1.011023137045320297e+01,-4.222243592564048953e+01
-1.966350383003183566e+01,-4.340018165106566528e+01
-2.059067643849922646e+01,-4.771821162468277322e+01
-2.170786551594072478e+01,-5.391037742639675656e+01
-2.726014039866117855e+01,-6.041473007835628550e+01
-1.212162508362132840e+01,-6.888661891762940570e+01
-1.627360151995643278e+01,-6.970725246364311545e+01
-1.838228652464059820e+01,-6.821521952866179106e+01
-9.617890461532445201e+00,-6.758172712111952762e+01
-7.854150771013138410e+00,-6.317780979746295600e+01
-2.035169988038764188e+01,-5.636318794461500659e+01
-1.450760630565813791e+01,-5.584937778607272207e+01
-1.804417912637445554e+00,-5.600596644758626752e+01
-2.546045723857087495e+01,-4.945960978643020667e+01
-1.473007683507641374e+01,-5.210189109931719287e+01
1.036013744964201067e+00,-5.462276764276784746e+01
-1.165258150994102415e+01,-4.772679471446175370e+01
-1.542695440919533034e+01,-4.333298325910705273e+01
-1.533816689087057838e+01,-4.369290647946503725e+01
-1.527912501979851356e+01,-4.604626553425988078e+01
-9.844250481808591857e+00,-4.870025937559977081e+01
-2.668730331291317270e+01,-4.832950013291475244e+01
3.664346857909032806e+00,-5.478703824185460292e+01
-8.815512807911003890e+00,-4.916198178828584275e+01
3.695682907019008923e-01,-4.331031921537173446e+01
9.671503885466137262e-01,-3.498634431141344692e+01
-8.448339053059944703e+00,-2.587468379990426115e+01
6.135857326801861689e+00,-2.257195139295026820e+01
-8.129935917410566759e+00,-1.555206233830865870e+01
-1.059722670594170069e+01,-1.400226456513454032e+01
-1.481884683261160518e+01,-1.732379211080493064e+01
-1.156417565665029201e+01,-2.420546381165713257e+01
-6.210810847342084884e+00,-3.007083935545820808e+01
-2.360833469965810671e+00,-3.163019249489575202e+01
-2.575233323501911187e+01,-2.893063025069863059e+01
-1.732800027203108328e+00,-3.643063972811712148e+01
-1.621023268155236963e+01,-3.673770526405587589e+01
-1.623599550266281710e+01,-3.923632628021596247e+01
5.708303585581056439e+00,-4.357858453114041453e+01
-6.869597571642096057e+00,-3.691452886973528535e+01
-1.570135262314810731e+01,-3.148912237861877017e+01
-1.768302691505377311e+01,-3.303855025525511735e+01
-1.491942027189392661e+01,-3.873832162115384392e+01
-1.089753072823369884e+01,-4.381770980841434948e+01
-7.503475694969978349e+00,-4.557018494391534347e+01
-7.904901539832037471e+00,-4.375835008783384694e+01
-1.780727380652739100e+01,-4.081448056909143673e+01
-1.322617945818096175e+01,-4.290963356943123586e+01
-4.737861744130897002e+00,-4.519027570856672327e+01
-1.791234488932815339e+01,-4.249732215768887755e+01
-9.053012583419677739e+00,-4.415551922130336493e+01
-1.318486367723568620e+01,-4.400798241022316404e+01
-6.228112718609971843e+00,-4.439775236430261174e+01
7.444441420736925608e+00,-4.186111888870217967e+01
-1.339959017595801605e+01,-3.114612066820215830e+01
-1.023168094667036776e+01,-2.827300165037653557e+01
-1.761195202206265975e+01,-2.916621693343594401e+01
-2.467956421965155300e+01,-3.465212562157889664e+01
-1.994270830836274655e+00,-4.518641177392869679e+01
-7.261191256232844005e+00,-4.522463344808590335e+01
-3.140535979108162401e+00,-4.184822285724948188e+01
-1.060243450183859082e+01,-3.622581532524853287e+01
